unique_student_id,course_start_date,sem_desc,course_name,course_code,discipline_desc,course_type,grade_final
3400,7/1/2015,Summer 2015,DEP Course - Social Science,CNC_SOCSCI,Social Sciences,Pre-College,CM
3400,7/1/2015,Summer 2015,Intro Cult Anthropol LEC,ANT1001,Social Sciences,College-Credit,C-
2782,2/1/2016,Spring 2016,Intro To Business LEC,BUS1000,Business Administration & Tech,College-Credit,A
2429,2/1/2016,Spring 2016,Intro To Business LEC,BUS1000,Business Administration & Tech,College-Credit,C
557,2/1/2016,Spring 2016,DEP Course - Science ,CNC_SCI ,Natural Sciences,Pre-College,P
1387,2/1/2016,Spring 2016,DEP Course - Science ,CNC_SCI ,Natural Sciences,Pre-College,P
2110,2/1/2016,Spring 2016,DEP Course - Science ,CNC_SCI ,Natural Sciences,Pre-College,P
1658,2/1/2016,Spring 2016,Critical Health Iss LEC,HED1911,"Health, Nutrition & Human Services",College-Credit,B
3852,2/1/2016,Spring 2016,MSC In Civilization LEC,MSC1003,Other & Miscellaneous,College-Credit,B-
3257,2/1/2016,Spring 2016,MSC In Civilization LEC,MSC1003,Other & Miscellaneous,College-Credit,A
2379,2/1/2016,Spring 2016,MSC In Civilization LEC,MSC1003,Other & Miscellaneous,College-Credit,B
3415,2/1/2016,Spring 2016,MSC In Civilization LEC,MSC1003,Other & Miscellaneous,College-Credit,B-
3491,2/1/2016,Spring 2016,MSC In Civilization LEC,MSC1003,Other & Miscellaneous,College-Credit,B-
3040,2/1/2016,Spring 2016,MSC In Civilization LEC,MSC1003,Other & Miscellaneous,College-Credit,C-
3194,2/1/2016,Spring 2016,General Psychology LEC,PSY1001,Social Sciences,College-Credit,B+
1995,2/1/2016,Spring 2016,Introd To Sociology LEC,SOC1005,Social Sciences,College-Credit,A
557,7/1/2016,Summer 2016,DEP Course - Science ,CNC_SCI ,Natural Sciences,Pre-College,P
1387,7/1/2016,Summer 2016,DEP Course - Science ,CNC_SCI ,Natural Sciences,Pre-College,P
