unique_student_id,schlyear,exgrade,exam_name
1718,2015,81,English exam
1440,2015,76,English exam
1440,2015,31,Math exam
1666,2015,82,English exam
1666,2015,83,Math exam
1839,2014,89,English exam
3126,2015,78,English exam
3126,2015,83,English exam
2545,2014,44,English exam
714,2014,67,English exam
2628,2016,43,English exam
2628,2016,71,English exam
3118,2016,87,English exam
3026,2014,78,English exam
669,2015,88,English exam
669,2015,71,Math exam
2515,2014,81,English exam
3628,2015,70,English exam
3628,2015,81,English exam
3628,2016,76,Math exam
800,2015,83,English exam
800,2015,54,Math exam
800,2016,70,Math exam
1548,2014,47,English exam
1548,2014,68,English exam
2447,2016,89,English exam
2868,2015,86,English exam
2868,2015,60,Math exam
32,2015,87,English exam
1026,2014,69,English exam
1026,2015,82,English exam
3365,2014,91,English exam
3365,2015,80,English exam
3365,2015,39,Math exam
3630,2015,74,English exam
3630,2016,55,English exam
3357,2014,81,English exam
3357,2014,71,English exam
3357,2015,22,Math exam
892,2015,65,English exam
1004,2015,74,English exam
1004,2015,75,Math exam
2644,2015,79,English exam
3125,2014,60,English exam
3125,2015,68,English exam
2887,2015,88,English exam
2460,2015,82,English exam
3148,2015,88,English exam
2681,2014,83,English exam
2681,2014,75,English exam
2681,2015,54,Math exam
3172,2015,88,English exam
2050,2014,60,English exam
2050,2014,72,English exam
2050,2015,81,English exam
2050,2015,74,Math exam
645,2014,27,Math exam
645,2015,76,English exam
2655,2014,79,English exam
2655,2014,61,Math exam
2655,2014,54,Math exam
2655,2015,65,Math exam
1762,2015,99,English exam
1762,2015,87,Math exam
2854,2015,79,English exam
2854,2015,82,Math exam
3419,2014,89,English exam
3419,2014,91,English exam
3419,2015,80,Math exam
2794,2014,69,Math exam
2794,2015,92,English exam
3459,2015,88,English exam
3459,2015,49,Math exam
3307,2015,86,English exam
61,2015,92,English exam
61,2015,81,Math exam
2237,2014,26,Math exam
2237,2015,79,English exam
1302,2014,58,English exam
1302,2014,87,English exam
1302,2015,44,Math exam
1302,2016,48,Math exam
2982,2014,66,Math exam
2982,2015,93,English exam
